二進も三進,にっち+|も|さっち+
弱肉強食,じゃく|にく|きょう|しょく
正真正銘,しょう|しん|しょう|めい
勧善懲悪,かん|ぜん|ちょう|あく
口先八丁,くち|さき|はっ|ちょう
春夏秋冬,しゅん|か|しゅう|とう
老若男女,ろう|にゃく|なん|にょ
十人十色,じゅう|にん|と|いろ
森羅万象,しん|ら|ばん|しょう
天真爛漫,てん|しん|らん|まん
波乱万丈,は|らん|ばん|じょう
波瀾万丈,は|らん|ばん|じょう
御玉杓子,お|たま|じゃく|し
荒唐無稽,こう|とう|む|けい
三半規管,さん|はん|き|かん
出刃包丁,で|ば|ぼう|ちょう
前人未到,ぜん|じん|み|とう
他力本願,た|りき|ほん|がん
有終の美,ゆう|しゅう|の|び
喜怒哀楽,き|ど|あい|らく
急がば回,いそ|が|ば|まわ
虎視眈々,こ|し|たん|たん
自業自得,じ|ごう|じ|とく
津々浦々,つ|つ|うら|うら
罵詈雑言,ば|り|ぞう|ごん
唯一無二,ゆい|いつ|む|に
夕暮れ空,ゆう|ぐ|れ|ぞら
何もかも,なに|も|か|も
楽したい,らく|し|た|い
曲がり角,ま|が|り|かど
向こう側,む|こ|う|がわ
高カロリ,こう|カ|ロ|リ
思い出し,おも|い|だ|し
七不思議,なな|ふ|し|ぎ
想い出し,おも|い|だ|し
当たり前,あ|た|り|まえ
無意識化,む|い|しき|か
落とし前,お|と|し|まえ
いつの間,い|つ|の|ま
交ざり合,ま|ざ|り|あ
持ちつ持,も|ち|つ|も
出しゃば,で|し|ゃ|ば
代わり映,か|わ|り|ば
飛び出し,と|び|だ|し
飛び出る,と|び|で|る
分かち合,わ|か|ち|あ
山桜桃梅,ゆすらうめ
授業中,じゅ|ぎょう|ちゅう
挑戦状,ちょう|せん|じょう
超特急,ちょう|とっ|きゅう
印象的,いん|しょう|てき
宴会場,えん|かい|じょう
観察中,かん|さつ|ちゅう
観測上,かん|そく|じょう
境界線,きょう|かい|せん
向上心,こう|じょう|しん
豪速球,ごう|そっ|きゅう
最高潮,さい|こう|ちょう
最終回,さい|しゅう|かい
終末感,しゅう|まつ|かん
十年前,じゅう|ねん|まえ
焦燥感,しょう|そう|かん
数秒前,すう|びょう|まえ
絶好調,ぜっ|こう|ちょう
全速力,ぜん|そく|りょく
草食系,そう|しょく|けい
大往生,だい|おう|じょう
大音量,だい|おん|りょう
大黒柱,だい|こく|ばしら
大浴場,だい|よく|じょう
談笑会,だん|しょう|かい
地球上,ち|きゅう|じょう
超新星,ちょう|しん|せい
超大作,ちょう|たい|さく
超弩級,ちょう|ど|きゅう
追跡中,つい|せき|ちゅう
通常通,つう|じょう|どお
特許庁,とっ|きょ|ちょう
暴走中,ぼう|そう|ちゅう
妄想中,もう|そう|ちゅう
案の定,あん|の|じょう
一寸先,いっ|すん|さき
一等星,いっ|とう|せい
一般的,いっ|ぱん|てき
一方的,いっ|ぽう|てき
一目散,いち|もく|さん
陰謀論,いん|ぼう|ろん
宇宙船,う|ちゅう|せん
運命的,うん|めい|てき
衛生的,えい|せい|てき
宴会芸,えん|かい|げい
何光年,なん|こう|ねん
画一的,かく|いつ|てき
怪文書,かい|ぶん|しょ
開放的,かい|ほう|てき
外国人,がい|こく|じん
核弾頭,かく|だん|とう
革新的,かく|しん|てき
革命的,かく|めい|てき
感覚的,かん|かく|てき
感想文,かん|そう|ぶん
間欠泉,かん|けつ|せん
幾星霜,いく|せい|そう
教科書,きょう|か|しょ
芸能人,げい|のう|じん
攻撃的,こう|げき|てき
再現性,さい|げん|せい
最終話,さい|しゅう|わ
罪悪感,ざい|あく|かん
三銃士,さん|じゅう|し
初心者,しょ|しん|しゃ
小売商,こ|うり|しょう
笑い話,わら|い|ばなし
信仰心,しん|こう|しん
心拍数,しん|ぱく|すう
浸透圧,しん|とう|あつ
水平線,すい|へい|せん
睡眠欲,すい|みん|よく
成層圏,せい|そう|けん
生産性,せい|さん|せい
精一杯,せい|いっ|ぱい
積乱雲,せき|らん|うん
絶対的,ぜっ|たい|てき
先天的,せん|てん|てき
千年前,せん|ねん|まえ
全例外,ぜん|れい|がい
太陽光,たい|よう|こう
大興奮,だい|こう|ふん
大失敗,だい|しっ|ぱい
大丈夫,だい|じょう|ぶ
大団円,だい|だん|えん
大冒険,だい|ぼう|けん
大満足,だい|まん|ぞく
大論争,だい|ろん|そう
誕生日,たん|じょう|び
調査団,ちょう|さ|だん
通常時,つう|じょう|じ
等身大,とう|しん|だい
突発的,とっ|ぱつ|てき
敗北感,はい|ぼく|かん
白昼夢,はく|ちゅう|む
発砲音,はっ|ぽう|おん
美術室,び|じゅつ|しつ
必然的,ひつ|ぜん|てき
不平等,ふ|びょう|どう
風来坊,ふう|らい|ぼう
傍観者,ぼう|かん|しゃ
未成熟,み|せい|じゅく
厄介払,やっ|かい|ばら
旅行者,りょ|こう|しゃ
恋愛観,れん|あい|かん
愛し方,あい|し|かた
意識的,い|しき|てき
意欲的,い|よく|てき
異星人,い|せい|じん
一時的,いち|じ|てき
隠れ蓑,かく|れ|みの
雨模様,あめ|も|よう
炎天下,えん|てん|か
王子様,おう|じ|さま
加害者,か|がい|しゃ
可哀想,か|わい|そう
可能性,か|のう|せい
家庭的,か|てい|てき
絵空事,え|そら|ごと
喚き叫,わめ|き|さけ
韓国語,かん|こく|ご
急ぎ足,いそ|ぎ|あし
銀河一,ぎん|が|いち
空元気,から|げん|き
空模様,そら|も|よう
経験値,けい|けん|ち
警備隊,けい|び|たい
個体数,こ|たい|すう
後始末,あと|し|まつ
好奇心,こう|き|しん
黒い沼,くろ|い|ぬま
黒歴史,くろ|れき|し
三味線,しゃ|み|せん
刺激的,し|げき|てき
四天王,し|てん|のう
思い描,おも|い|えが
指令書,し|れい|しょ
私生活,し|せい|かつ
紫外線,し|がい|せん
試験前,し|けん|まえ
治し方,なお|し|かた
十五夜,じゅう|ご|や
十字架,じゅう|じ|か
出不精,で|ぶ|しょう
瞬く間,またた|く|ま
笑い方,わら|い|かた
信号機,しん|ごう|き
心技体,しん|ぎ|たい
世界一,せ|かい|いち
赤頭巾,あか|ず|きん
雪景色,ゆき|げ|しき
全世界,ぜん|せ|かい
素粒子,そ|りゅう|し
多様性,た|よう|せい
大誤算,だい|ご|さん
断末魔,だん|まつ|ま
地球儀,ち|きゅう|ぎ
地平線,ち|へい|せん
致命的,ち|めい|てき
中トロ,ちゅう|ト|ロ
通過点,つう|か|てん
爪楊枝,つま|ようじ+
天下一,てん|か|いち
電波塔,でん|ぱ|とう
曇り空,くも|り|ぞら
二千年,に|せん|ねん
日曜日,にち|よう|び
捻り潰,ひね|り|つぶ
波動拳,は|どう|けん
這い蹲,は|い|つくば
繁華街,はん|か|がい
被害者,ひ|がい|しゃ
微生物,び|せい|ぶつ
不安定,ふ|あん|てい
不格好,ぶ|かっ|こう
不完全,ふ|かん|ぜん
不幸せ,ふ|しあわ|せ
不条理,ふ|じょう|り
不摂生,ふ|せっ|せい
不調和,ふ|ちょう|わ
舞踏会,ぶ|とう|かい
部活動,ぶ|かつ|どう
物理的,ぶつ|り|てき
別次元,べつ|じ|げん
別世界,べつ|せ|かい
包囲網,ほう|い|もう
鳳仙花,ほう|せん|か
無愛想,ぶ|あい|そう
無計画,む|けい|かく
無尽蔵,む|じん|ぞう
無駄話,む|だ|ばなし
目一杯,め|いっ|ぱい
問題児,もん|だい|じ
遊園地,ゆう|えん|ち
容疑者,よう|ぎ|しゃ
落下傘,らっ|か|さん
履歴書,り|れき|しょ
理想論,り|そう|ろん
流浪人,る|ろう|にん
旅客機,りょ|かく|き
旅支度,たび|じ|たく
論理脳,ろん|り|のう
お終い,お|しま|い
の上に,の|うえ|に
やり方,や|り|かた
愛しい,いと|し|い
愛して,あい|し|て
圧し殺,お|し|ころ
意地悪,い|じ|わる
意味深,い|み|しん
違和感,い|わ|かん
遺伝子,い|でん|し
溢れ出,あふ|れ|で
隠れ処,かく|れ|が
温もり,ぬく|も|り
下駄箱,げ|た|ばこ
化け物,ば|け|もの
何だか,なん|だ|か
何より,なに|よ|り
加速度,か|そく|ど
架け橋,か|け|はし
解き放,と|き|はな
楽しい,たの|し|い
楽しく,たの|し|く
楽しさ,たの|し|さ
楽しそ,たの|し|そ
楽じゃ,らく|じ|ゃ
楽しん,たの|し|ん
割れ物,わ|れ|もの
噛み砕,か|み|くだ
茅ヶ崎,ち|が|さき
丸ごと,まる|ご|と
顔見知,かお|み|し
記念日,き|ねん|び
泣き顔,な|き|がお
泣き虫,な|き|むし
居場所,い|ば|しょ
居心地,い|ごこ|ち
空っぽ,から|っ|ぽ
繰り返,く|り|かえ
言い方,い|い|かた
言い訳,い|い|わけ
御機嫌,ご|き|げん
咲き誇,さ|き|ほこ
作り出,つく|り|だ
作り上,つく|り|あ
三文字,さん|も|じ
思い出,おも|い|で
支え合,ささ|え|あ
試験後,し|けん|ご
事務所,じ|む|しょ
持ち物,も|ち|もの
自意識,じ|い|しき
自己愛,じ|こ|あい
借り物,か|り|もの
取り返,と|り|かえ
取り戻,と|り|もど
手加減,て|か|げん
受話器,じゅ|わ|き
春日部,かすか+|べ
書き記,か|き|しる
寝る前,ね|る|まえ
